,id,x,y,z,i,j,k,degree,to_remove
486,0.0,420.0,588.8972745734183,0.0,84.0,117.77945491468365,0.0,2.0,False
487,1.0,460.0,588.8972745734183,0.0,92.0,117.77945491468365,0.0,4.0,False
488,2.0,500.0,588.8972745734183,0.0,100.0,117.77945491468365,0.0,3.0,False
515,3.0,440.0,623.5382907247958,0.0,88.0,124.70765814495917,0.0,4.0,False
516,4.0,480.0,623.5382907247958,0.0,96.0,124.70765814495917,0.0,2.0,False
623,5.0,280.0,762.102355330306,0.0,56.0,152.4204710660612,0.0,2.0,False
1300,6.0,520.0,461.8802153517006,32.65986323710904,104.0,92.37604307034012,1.0886621079036347,2.0,False
1354,7.0,440.0,531.1622476544558,32.65986323710904,88.0,106.23244953089116,1.0886621079036347,2.0,False
1355,8.0,480.0,531.1622476544558,32.65986323710904,96.0,106.23244953089116,1.0886621079036347,2.0,False
1382,9.0,420.0,565.8032638058332,32.65986323710904,84.0,113.16065276116665,1.0886621079036347,3.0,False
1383,10.0,460.0,565.8032638058332,32.65986323710904,92.0,113.16065276116665,1.0886621079036347,10.0,False
1384,11.0,500.0,565.8032638058332,32.65986323710904,100.0,113.16065276116665,1.0886621079036347,4.0,False
1410,12.0,440.0,600.4442799572108,32.65986323710904,88.0,120.08885599144216,1.0886621079036347,10.0,False
1411,13.0,480.0,600.4442799572108,32.65986323710904,96.0,120.08885599144216,1.0886621079036347,12.0,False
1412,14.0,520.0,600.4442799572108,32.65986323710904,104.0,120.08885599144216,1.0886621079036347,4.0,False
1439,15.0,460.0,635.0852961085884,32.65986323710904,92.0,127.01705922171769,1.0886621079036347,4.0,False
1440,16.0,500.0,635.0852961085884,32.65986323710904,100.0,127.01705922171769,1.0886621079036347,2.0,False
1518,17.0,280.0,739.0083445627209,32.65986323710904,56.0,147.8016689125442,1.0886621079036347,3.0,False
1519,18.0,320.0,739.0083445627209,32.65986323710904,64.0,147.8016689125442,1.0886621079036347,2.0,False
1547,19.0,300.0,773.6493607140985,32.65986323710904,60.0,154.72987214281972,1.0886621079036347,6.0,False
2197,20.0,520.0,438.7862045841155,65.31972647421809,104.0,87.75724091682311,2.1773242158072694,3.0,False
2198,21.0,560.0,438.7862045841155,65.31972647421809,112.0,87.75724091682311,2.1773242158072694,4.0,False
2224,22.0,500.0,473.4272207354931,65.31972647421809,100.0,94.68544414709862,2.1773242158072694,4.0,False
2225,23.0,540.0,473.4272207354931,65.31972647421809,108.0,94.68544414709862,2.1773242158072694,9.0,False
2226,24.0,580.0,473.4272207354931,65.31972647421809,116.0,94.68544414709862,2.1773242158072694,2.0,False
2251,25.0,440.0,508.06823688687064,65.31972647421809,88.0,101.61364737737412,2.1773242158072694,3.0,False
2252,26.0,480.0,508.06823688687064,65.31972647421809,96.0,101.61364737737412,2.1773242158072694,3.0,False
2253,27.0,520.0,508.06823688687064,65.31972647421809,104.0,101.61364737737412,2.1773242158072694,2.0,False
2278,28.0,420.0,542.7092530382482,65.31972647421809,84.0,108.54185060764965,2.1773242158072694,3.0,False
2279,29.0,460.0,542.7092530382482,65.31972647421809,92.0,108.54185060764965,2.1773242158072694,12.0,False
2280,30.0,500.0,542.7092530382482,65.31972647421809,100.0,108.54185060764965,2.1773242158072694,5.0,False
2307,31.0,440.0,577.3502691896257,65.31972647421809,88.0,115.47005383792514,2.1773242158072694,9.0,False
2308,32.0,480.0,577.3502691896257,65.31972647421809,96.0,115.47005383792514,2.1773242158072694,12.0,False
2309,33.0,520.0,577.3502691896257,65.31972647421809,104.0,115.47005383792514,2.1773242158072694,2.0,False
2334,34.0,420.0,611.9912853410033,65.31972647421809,84.0,122.39825706820065,2.1773242158072694,5.0,False
2335,35.0,460.0,611.9912853410033,65.31972647421809,92.0,122.39825706820065,2.1773242158072694,12.0,False
