,id,x,y,z,i,j,k,degree,to_remove
6859,0.0,325.0,238.15698604072062,61.237243569579455,65.0,47.63139720814412,2.041241452319315,3.0,False
6860,1.0,350.0,238.15698604072062,61.237243569579455,70.0,47.63139720814412,2.041241452319315,2.0,False
6900,2.0,312.5,259.8076211353316,61.237243569579455,62.5,51.96152422706632,2.041241452319315,3.0,False
6901,3.0,337.5,259.8076211353316,61.237243569579455,67.5,51.96152422706632,2.041241452319315,9.0,False
6902,4.0,362.5,259.8076211353316,61.237243569579455,72.5,51.96152422706632,2.041241452319315,4.0,False
6941,5.0,325.0,281.45825622994255,61.237243569579455,65.0,56.29165124598851,2.041241452319315,5.0,False
6942,6.0,350.0,281.45825622994255,61.237243569579455,70.0,56.29165124598851,2.041241452319315,5.0,False
7147,7.0,337.5,389.71143170299734,61.237243569579455,67.5,77.94228634059947,2.041241452319315,3.0,False
7148,8.0,362.5,389.71143170299734,61.237243569579455,72.5,77.94228634059947,2.041241452319315,3.0,False
7187,9.0,325.0,411.36206679760835,61.237243569579455,65.0,82.27241335952166,2.041241452319315,2.0,False
7188,10.0,350.0,411.36206679760835,61.237243569579455,70.0,82.27241335952166,2.041241452319315,7.0,False
7189,11.0,375.0,411.36206679760835,61.237243569579455,75.0,82.27241335952166,2.041241452319315,2.0,False
8951,12.0,325.0,223.72322931097997,81.6496580927726,65.0,44.744645862195995,2.721655269759087,3.0,False
8952,13.0,350.0,223.72322931097997,81.6496580927726,70.0,44.744645862195995,2.721655269759087,3.0,False
8991,14.0,312.5,245.37386440559095,81.6496580927726,62.5,49.07477288111819,2.721655269759087,3.0,False
8992,15.0,337.5,245.37386440559095,81.6496580927726,67.5,49.07477288111819,2.721655269759087,9.0,False
8993,16.0,362.5,245.37386440559095,81.6496580927726,72.5,49.07477288111819,2.721655269759087,5.0,False
9032,17.0,300.0,267.0244995002019,81.6496580927726,60.0,53.40489990004038,2.721655269759087,2.0,False
9033,18.0,325.0,267.0244995002019,81.6496580927726,65.0,53.40489990004038,2.721655269759087,12.0,False
9034,19.0,350.0,267.0244995002019,81.6496580927726,70.0,53.40489990004038,2.721655269759087,11.0,False
9073,20.0,312.5,288.67513459481285,81.6496580927726,62.5,57.73502691896257,2.721655269759087,3.0,False
9074,21.0,337.5,288.67513459481285,81.6496580927726,67.5,57.73502691896257,2.721655269759087,6.0,False
9075,22.0,362.5,288.67513459481285,81.6496580927726,72.5,57.73502691896257,2.721655269759087,3.0,False
9152,23.0,237.5,331.9764047840348,81.6496580927726,47.5,66.39528095680696,2.721655269759087,2.0,False
9153,24.0,262.5,331.9764047840348,81.6496580927726,52.5,66.39528095680696,2.721655269759087,2.0,False
9193,25.0,225.0,353.62703987864575,81.6496580927726,45.0,70.72540797572915,2.721655269759087,2.0,False
9194,26.0,250.0,353.62703987864575,81.6496580927726,50.0,70.72540797572915,2.721655269759087,3.0,False
9234,27.0,237.5,375.2776749732567,81.6496580927726,47.5,75.05553499465134,2.721655269759087,3.0,False
9235,28.0,262.5,375.2776749732567,81.6496580927726,52.5,75.05553499465134,2.721655269759087,3.0,False
9237,29.0,312.5,375.2776749732567,81.6496580927726,62.5,75.05553499465134,2.721655269759087,2.0,False
9238,30.0,337.5,375.2776749732567,81.6496580927726,67.5,75.05553499465134,2.721655269759087,3.0,False
9239,31.0,362.5,375.2776749732567,81.6496580927726,72.5,75.05553499465134,2.721655269759087,2.0,False
9279,32.0,325.0,396.92831006786764,81.6496580927726,65.0,79.38566201357352,2.721655269759087,6.0,False
9280,33.0,350.0,396.92831006786764,81.6496580927726,70.0,79.38566201357352,2.721655269759087,8.0,False
9281,34.0,375.0,396.92831006786764,81.6496580927726,75.0,79.38566201357352,2.721655269759087,4.0,False
9320,35.0,337.5,418.57894516247865,81.6496580927726,67.5,83.71578903249574,2.721655269759087,5.0,False
9321,36.0,362.5,418.57894516247865,81.6496580927726,72.5,83.71578903249574,2.721655269759087,6.0,False
9322,37.0,387.5,418.57894516247865,81.6496580927726,77.5,83.71578903249574,2.721655269759087,2.0,False
9397,38.0,212.5,461.88021535170054,81.6496580927726,42.5,92.3760430703401,2.721655269759087,3.0,False
9437,39.0,175.0,483.53085044631155,81.6496580927726,35.0,96.70617008926232,2.721655269759087,3.0,False
10753,40.0,287.5,57.735026918962575,102.06207261596576,57.5,11.547005383792515,3.402069087198859,5.0,False
10754,41.0,312.5,57.735026918962575,102.06207261596576,62.5,11.547005383792515,3.402069087198859,3.0,False
10793,42.0,275.0,79.38566201357355,102.06207261596576,55.0,15.877132402714711,3.402069087198859,2.0,False
11041,43.0,325.0,209.28947258123932,102.06207261596576,65.0,41.85789451624787,3.402069087198859,3.0,False
11042,44.0,350.0,209.28947258123932,102.06207261596576,70.0,41.85789451624787,3.402069087198859,7.0,False
11082,45.0,312.5,230.9401076758503,102.06207261596576,62.5,46.18802153517006,3.402069087198859,4.0,False
11083,46.0,337.5,230.9401076758503,102.06207261596576,67.5,46.18802153517006,3.402069087198859,12.0,False
11084,47.0,362.5,230.9401076758503,102.06207261596576,72.5,46.18802153517006,3.402069087198859,7.0,False
11123,48.0,325.0,252.59074277046128,102.06207261596576,65.0,50.51814855409226,3.402069087198859,11.0,False
11124,49.0,350.0,252.59074277046128,102.06207261596576,70.0,50.51814855409226,3.402069087198859,12.0,False
11125,50.0,375.0,252.59074277046128,102.06207261596576,75.0,50.51814855409226,3.402069087198859,4.0,False
11164,51.0,312.5,274.24137786507225,102.06207261596576,62.5,54.84827557301445,3.402069087198859,9.0,False
11165,52.0,337.5,274.24137786507225,102.06207261596576,67.5,54.84827557301445,3.402069087198859,12.0,False
11166,53.0,362.5,274.24137786507225,102.06207261596576,72.5,54.84827557301445,3.402069087198859,10.0,False
11205,54.0,325.0,295.8920129596832,102.06207261596576,65.0,59.17840259193664,3.402069087198859,5.0,False
11206,55.0,350.0,295.8920129596832,102.06207261596576,70.0,59.17840259193664,3.402069087198859,6.0,False
11207,56.0,375.0,295.8920129596832,102.06207261596576,75.0,59.17840259193664,3.402069087198859,2.0,False
11243,57.0,237.5,317.54264805429415,102.06207261596576,47.5,63.50852961085883,3.402069087198859,2.0,False
11283,58.0,225.0,339.19328314890515,102.06207261596576,45.0,67.83865662978103,3.402069087198859,8.0,False
11284,59.0,250.0,339.19328314890515,102.06207261596576,50.0,67.83865662978103,3.402069087198859,11.0,False
11285,60.0,275.0,339.19328314890515,102.06207261596576,55.0,67.83865662978103,3.402069087198859,4.0,False
11325,61.0,237.5,360.8439182435161,102.06207261596576,47.5,72.16878364870323,3.402069087198859,10.0,False
11326,62.0,262.5,360.8439182435161,102.06207261596576,52.5,72.16878364870323,3.402069087198859,11.0,False
11327,63.0,287.5,360.8439182435161,102.06207261596576,57.5,72.16878364870323,3.402069087198859,2.0,False
11328,64.0,312.5,360.8439182435161,102.06207261596576,62.5,72.16878364870323,3.402069087198859,2.0,False
11329,65.0,337.5,360.8439182435161,102.06207261596576,67.5,72.16878364870323,3.402069087198859,5.0,False
11330,66.0,362.5,360.8439182435161,102.06207261596576,72.5,72.16878364870323,3.402069087198859,2.0,False
11365,67.0,225.0,382.49455333812705,102.06207261596576,45.0,76.49891066762541,3.402069087198859,3.0,False
11366,68.0,250.0,382.49455333812705,102.06207261596576,50.0,76.49891066762541,3.402069087198859,9.0,False
11367,69.0,275.0,382.49455333812705,102.06207261596576,55.0,76.49891066762541,3.402069087198859,9.0,False
11368,70.0,300.0,382.49455333812705,102.06207261596576,60.0,76.49891066762541,3.402069087198859,5.0,False
11369,71.0,325.0,382.49455333812705,102.06207261596576,65.0,76.49891066762541,3.402069087198859,12.0,False
11370,72.0,350.0,382.49455333812705,102.06207261596576,70.0,76.49891066762541,3.402069087198859,12.0,False
11371,73.0,375.0,382.49455333812705,102.06207261596576,75.0,76.49891066762541,3.402069087198859,4.0,False
11407,74.0,237.5,404.145188432738,102.06207261596576,47.5,80.8290376865476,3.402069087198859,3.0,False
11408,75.0,262.5,404.145188432738,102.06207261596576,52.5,80.8290376865476,3.402069087198859,3.0,False
11409,76.0,287.5,404.145188432738,102.06207261596576,57.5,80.8290376865476,3.402069087198859,3.0,False
11410,77.0,312.5,404.145188432738,102.06207261596576,62.5,80.8290376865476,3.402069087198859,5.0,False
11411,78.0,337.5,404.145188432738,102.06207261596576,67.5,80.8290376865476,3.402069087198859,12.0,False
11412,79.0,362.5,404.145188432738,102.06207261596576,72.5,80.8290376865476,3.402069087198859,12.0,False
11413,80.0,387.5,404.145188432738,102.06207261596576,77.5,80.8290376865476,3.402069087198859,8.0,False
11448,81.0,250.0,425.795823527349,102.06207261596576,50.0,85.1591647054698,3.402069087198859,2.0,False
11451,82.0,325.0,425.795823527349,102.06207261596576,65.0,85.1591647054698,3.402069087198859,3.0,False
11452,83.0,350.0,425.795823527349,102.06207261596576,70.0,85.1591647054698,3.402069087198859,6.0,False
11453,84.0,375.0,425.795823527349,102.06207261596576,75.0,85.1591647054698,3.402069087198859,8.0,False
11488,85.0,212.5,447.44645862195995,102.06207261596576,42.5,89.48929172439199,3.402069087198859,3.0,False
11527,86.0,175.0,469.0970937165709,102.06207261596576,35.0,93.81941874331417,3.402069087198859,3.0,False
11528,87.0,200.0,469.0970937165709,102.06207261596576,40.0,93.81941874331417,3.402069087198859,7.0,False
11529,88.0,225.0,469.0970937165709,102.06207261596576,45.0,93.81941874331417,3.402069087198859,4.0,False
11568,89.0,162.5,490.7477288111819,102.06207261596576,32.5,98.14954576223639,3.402069087198859,5.0,False
11569,90.0,187.5,490.7477288111819,102.06207261596576,37.5,98.14954576223639,3.402069087198859,6.0,False
11570,91.0,212.5,490.7477288111819,102.06207261596576,42.5,98.14954576223639,3.402069087198859,4.0,False
12804,92.0,300.0,0.0,122.47448713915891,60.0,0.0,4.08248290463863,2.0,False
12844,93.0,287.5,21.650635094610966,122.47448713915891,57.5,4.330127018922193,4.08248290463863,6.0,False
12845,94.0,312.5,21.650635094610966,122.47448713915891,62.5,4.330127018922193,4.08248290463863,7.0,False
12846,95.0,337.5,21.650635094610966,122.47448713915891,67.5,4.330127018922193,4.08248290463863,2.0,False
12885,96.0,275.0,43.30127018922193,122.47448713915891,55.0,8.660254037844386,4.08248290463863,8.0,False
12886,97.0,300.0,43.30127018922193,122.47448713915891,60.0,8.660254037844386,4.08248290463863,10.0,False
12887,98.0,325.0,43.30127018922193,122.47448713915891,65.0,8.660254037844386,4.08248290463863,6.0,False
12925,99.0,262.5,64.9519052838329,122.47448713915891,52.5,12.99038105676658,4.08248290463863,3.0,False
12926,100.0,287.5,64.9519052838329,122.47448713915891,57.5,12.99038105676658,4.08248290463863,9.0,False
12927,101.0,312.5,64.9519052838329,122.47448713915891,62.5,12.99038105676658,4.08248290463863,5.0,False
13133,102.0,325.0,173.20508075688772,122.47448713915891,65.0,34.64101615137754,4.08248290463863,2.0,False
